Pozisyon;IlanMetni
Product Manager-Designer;"
Ubuntu Platform - Our Ubuntu experience on Desktop, Server, Windows (WSL), Multipass, Gaming, Enterprise, & Hardware Enablement
Ubuntu Pro Services - Our key commercial offerings Ubuntu Pro, Compliance, Standards, Security Engineering, and Managed Services on cloud and on prem
AI/ML & MLOps - Open source AI/ML solutions, AIOps automation, model lifecycle management, Kubeflow, MLFlow, KServe, and AI infrastructure on cloud and edge
IoT - Ubuntu on embedded devices and/or edge servers, device management, and robotics
Cloud - Ubuntu in public and private clouds, promoting automation frameworks, and including technologies such as Kubernetes, MAAS, and LXD
Telco - Open source for Telco's including technologies and standards related to Core Network, RAN/vRAN, SoNIC, DENT, and SmartNICs
Finance - Open source solutions for financial institutions including trading platforms, blockchain technologies, regulatory compliance, and AI-driven analytics
Automotive - Open source solutions for autonomous driving, in-vehicle infotainment, connected vehicles, and compliance with automotive industry standards such as ISO 26262 and ISO 21434
Application Management - Open source solutions in the enterprise including Observability, IAM, App Stores and technologies such Grafana, GitOps, and Juju Charms"
Product Manager-Designer;"Senden neler bekliyoruz?



Tasar?m veya ilgili alanda lisans diplomas? (End�striyel Tasar?m, G�rsel ?leti?im Tasar?m?, Grafik Tasar?m, ?nsan-Bilgisayar Etkile?imi (HCI) vb.)
En az 2-4 y?l mobil ve web platformlar? gibi projelerde tasar?m deneyim sahibi olunmas?,
Figma'y? ileri seviyede kullan?lmas?, tasar?m sistemleri geli?tirilmesi ve mevcut sistemlerin etkin ?ekilde kullan?lmas?
Kullan?c? deneyimi (UX) ve kullan?c? aray�z� (UI) tasar?mlar?n? olu?turmak, optimize etmek ve y�ksek kaliteli prototipler haz?rlanmas?,
G��l� ileti?im becerileri,"
ÇKÇaÇyÇsÇeÇrÇiÇİÇşÇ ÇİÇlÇaÇnÇlÇaÇrÇıÇ;ÇAÇdÇaÇyÇ Ç(ÇİÇşÇ ÇmÇiÇ ÇAÇrÇıÇyÇoÇrÇsÇuÇnÇ?Ç)Ç ÇBÇuÇrÇaÇdÇaÇ ÇsÇeÇnÇiÇ ÇbÇeÇkÇlÇeÇyÇeÇnÇ ÇbÇiÇnÇlÇeÇrÇcÇeÇ ÇiÇlÇaÇnÇ ÇvÇaÇrÇ!Ç ÇAÇdÇaÇyÇ ÇGÇiÇrÇiÇşÇiÇ ÇÜÇyÇeÇ ÇOÇlÇ ÇİÇşÇvÇeÇrÇeÇnÇ Ç(ÇİÇlÇaÇnÇ ÇmÇıÇ ÇVÇeÇrÇeÇcÇeÇkÇsÇiÇnÇiÇzÇ?Ç)Ç ÇPÇoÇzÇiÇsÇyÇoÇnÇuÇnÇuÇzÇaÇ ÇeÇnÇ ÇuÇyÇgÇuÇnÇ ÇaÇdÇaÇyÇ ÇbÇuÇrÇaÇdÇaÇ!Ç ÇİÇşÇvÇeÇrÇeÇnÇ ÇGÇiÇrÇiÇşÇiÇ ÇÜÇcÇrÇeÇtÇsÇiÇzÇ ÇÜÇyÇeÇ ÇOÇlÇ!Ç ÇİÇşÇeÇ ÇAÇlÇıÇmÇ ÇÇÇöÇzÇüÇmÇlÇeÇrÇiÇ ÇİÇlÇaÇnÇ ÇPÇaÇkÇeÇtÇiÇ ÇAÇlÇ ÇSÇiÇzÇiÇ ÇAÇrÇaÇyÇaÇlÇıÇmÇ ÇBÇiÇzÇiÇ ÇAÇrÇaÇyÇıÇnÇ:Ç Ç0Ç2Ç1Ç6Ç Ç4Ç6Ç8Ç Ç7Ç6Ç Ç0Ç0Ç
ÇEÇsÇkÇiÇşÇeÇhÇiÇrÇİÇşÇ ÇİÇlÇaÇnÇlÇaÇrÇıÇ;ÇAÇdÇaÇyÇ Ç(ÇİÇşÇ ÇmÇiÇ ÇAÇrÇıÇyÇoÇrÇsÇuÇnÇ?Ç)Ç ÇBÇuÇrÇaÇdÇaÇ ÇsÇeÇnÇiÇ ÇbÇeÇkÇlÇeÇyÇeÇnÇ ÇbÇiÇnÇlÇeÇrÇcÇeÇ ÇiÇlÇaÇnÇ ÇvÇaÇrÇ!Ç ÇAÇdÇaÇyÇ ÇGÇiÇrÇiÇşÇiÇ ÇÜÇyÇeÇ ÇOÇlÇ ÇİÇşÇvÇeÇrÇeÇnÇ Ç(ÇİÇlÇaÇnÇ ÇmÇıÇ ÇVÇeÇrÇeÇcÇeÇkÇsÇiÇnÇiÇzÇ?Ç)Ç ÇPÇoÇzÇiÇsÇyÇoÇnÇuÇnÇuÇzÇaÇ ÇeÇnÇ ÇuÇyÇgÇuÇnÇ ÇaÇdÇaÇyÇ ÇbÇuÇrÇaÇdÇaÇ!Ç ÇİÇşÇvÇeÇrÇeÇnÇ ÇGÇiÇrÇiÇşÇiÇ ÇÜÇcÇrÇeÇtÇsÇiÇzÇ ÇÜÇyÇeÇ ÇOÇlÇ!Ç ÇİÇşÇeÇ ÇAÇlÇıÇmÇ ÇÇÇöÇzÇüÇmÇlÇeÇrÇiÇ ÇİÇlÇaÇnÇ ÇPÇaÇkÇeÇtÇiÇ ÇAÇlÇ ÇSÇiÇzÇiÇ ÇAÇrÇaÇyÇaÇlÇıÇmÇ ÇBÇiÇzÇiÇ ÇAÇrÇaÇyÇıÇnÇ:Ç Ç0Ç2Ç1Ç6Ç Ç4Ç6Ç8Ç Ç7Ç6Ç Ç0Ç0Ç
ÇAÇnÇtÇaÇlÇyÇaÇİÇşÇ ÇİÇlÇaÇnÇlÇaÇrÇıÇ;ÇAÇdÇaÇyÇ Ç(ÇİÇşÇ ÇmÇiÇ ÇAÇrÇıÇyÇoÇrÇsÇuÇnÇ?Ç)Ç ÇBÇuÇrÇaÇdÇaÇ ÇsÇeÇnÇiÇ ÇbÇeÇkÇlÇeÇyÇeÇnÇ ÇbÇiÇnÇlÇeÇrÇcÇeÇ ÇiÇlÇaÇnÇ ÇvÇaÇrÇ!Ç ÇAÇdÇaÇyÇ ÇGÇiÇrÇiÇşÇiÇ ÇÜÇyÇeÇ ÇOÇlÇ ÇİÇşÇvÇeÇrÇeÇnÇ Ç(ÇİÇlÇaÇnÇ ÇmÇıÇ ÇVÇeÇrÇeÇcÇeÇkÇsÇiÇnÇiÇzÇ?Ç)Ç ÇPÇoÇzÇiÇsÇyÇoÇnÇuÇnÇuÇzÇaÇ ÇeÇnÇ ÇuÇyÇgÇuÇnÇ ÇaÇdÇaÇyÇ ÇbÇuÇrÇaÇdÇaÇ!Ç ÇİÇşÇvÇeÇrÇeÇnÇ ÇGÇiÇrÇiÇşÇiÇ ÇÜÇcÇrÇeÇtÇsÇiÇzÇ ÇÜÇyÇeÇ ÇOÇlÇ!Ç ÇİÇşÇeÇ ÇAÇlÇıÇmÇ ÇÇÇöÇzÇüÇmÇlÇeÇrÇiÇ ÇİÇlÇaÇnÇ ÇPÇaÇkÇeÇtÇiÇ ÇAÇlÇ ÇSÇiÇzÇiÇ ÇAÇrÇaÇyÇaÇlÇıÇmÇ ÇBÇiÇzÇiÇ ÇAÇrÇaÇyÇıÇnÇ:Ç Ç0Ç2Ç1Ç6Ç Ç4Ç6Ç8Ç Ç7Ç6Ç Ç0Ç0Ç
ÇAÇnÇkÇaÇrÇaÇİÇşÇ ÇİÇlÇaÇnÇlÇaÇrÇıÇ;ÇAÇdÇaÇyÇ Ç(ÇİÇşÇ ÇmÇiÇ ÇAÇrÇıÇyÇoÇrÇsÇuÇnÇ?Ç)Ç ÇBÇuÇrÇaÇdÇaÇ ÇsÇeÇnÇiÇ ÇbÇeÇkÇlÇeÇyÇeÇnÇ ÇbÇiÇnÇlÇeÇrÇcÇeÇ ÇiÇlÇaÇnÇ ÇvÇaÇrÇ!Ç ÇAÇdÇaÇyÇ ÇGÇiÇrÇiÇşÇiÇ ÇÜÇyÇeÇ ÇOÇlÇ ÇİÇşÇvÇeÇrÇeÇnÇ Ç(ÇİÇlÇaÇnÇ ÇmÇıÇ ÇVÇeÇrÇeÇcÇeÇkÇsÇiÇnÇiÇzÇ?Ç)Ç ÇPÇoÇzÇiÇsÇyÇoÇnÇuÇnÇuÇzÇaÇ ÇeÇnÇ ÇuÇyÇgÇuÇnÇ ÇaÇdÇaÇyÇ ÇbÇuÇrÇaÇdÇaÇ!Ç ÇİÇşÇvÇeÇrÇeÇnÇ ÇGÇiÇrÇiÇşÇiÇ ÇÜÇcÇrÇeÇtÇsÇiÇzÇ ÇÜÇyÇeÇ ÇOÇlÇ!Ç ÇİÇşÇeÇ ÇAÇlÇıÇmÇ ÇÇÇöÇzÇüÇmÇlÇeÇrÇiÇ ÇİÇlÇaÇnÇ ÇPÇaÇkÇeÇtÇiÇ ÇAÇlÇ ÇSÇiÇzÇiÇ ÇAÇrÇaÇyÇaÇlÇıÇmÇ ÇBÇiÇzÇiÇ ÇAÇrÇaÇyÇıÇnÇ:Ç Ç0Ç2Ç1Ç6Ç Ç4Ç6Ç8Ç Ç7Ç6Ç Ç0Ç0Ç
ÇKÇoÇnÇyÇaÇİÇşÇ ÇİÇlÇaÇnÇlÇaÇrÇıÇ;ÇAÇdÇaÇyÇ Ç(ÇİÇşÇ ÇmÇiÇ ÇAÇrÇıÇyÇoÇrÇsÇuÇnÇ?Ç)Ç ÇBÇuÇrÇaÇdÇaÇ ÇsÇeÇnÇiÇ ÇbÇeÇkÇlÇeÇyÇeÇnÇ ÇbÇiÇnÇlÇeÇrÇcÇeÇ ÇiÇlÇaÇnÇ ÇvÇaÇrÇ!Ç ÇAÇdÇaÇyÇ ÇGÇiÇrÇiÇşÇiÇ ÇÜÇyÇeÇ ÇOÇlÇ ÇİÇşÇvÇeÇrÇeÇnÇ Ç(ÇİÇlÇaÇnÇ ÇmÇıÇ ÇVÇeÇrÇeÇcÇeÇkÇsÇiÇnÇiÇzÇ?Ç)Ç ÇPÇoÇzÇiÇsÇyÇoÇnÇuÇnÇuÇzÇaÇ ÇeÇnÇ ÇuÇyÇgÇuÇnÇ ÇaÇdÇaÇyÇ ÇbÇuÇrÇaÇdÇaÇ!Ç ÇİÇşÇvÇeÇrÇeÇnÇ ÇGÇiÇrÇiÇşÇiÇ ÇÜÇcÇrÇeÇtÇsÇiÇzÇ ÇÜÇyÇeÇ ÇOÇlÇ!Ç ÇİÇşÇeÇ ÇAÇlÇıÇmÇ ÇÇÇöÇzÇüÇmÇlÇeÇrÇiÇ ÇİÇlÇaÇnÇ ÇPÇaÇkÇeÇtÇiÇ ÇAÇlÇ ÇSÇiÇzÇiÇ ÇAÇrÇaÇyÇaÇlÇıÇmÇ ÇBÇiÇzÇiÇ ÇAÇrÇaÇyÇıÇnÇ:Ç Ç0Ç2Ç1Ç6Ç Ç4Ç6Ç8Ç Ç7Ç6Ç Ç0Ç0Ç
ÇDÇeÇnÇiÇzÇlÇiÇİÇşÇ ÇİÇlÇaÇnÇlÇaÇrÇıÇ;ÇAÇdÇaÇyÇ Ç(ÇİÇşÇ ÇmÇiÇ ÇAÇrÇıÇyÇoÇrÇsÇuÇnÇ?Ç)Ç ÇBÇuÇrÇaÇdÇaÇ ÇsÇeÇnÇiÇ ÇbÇeÇkÇlÇeÇyÇeÇnÇ ÇbÇiÇnÇlÇeÇrÇcÇeÇ ÇiÇlÇaÇnÇ ÇvÇaÇrÇ!Ç ÇAÇdÇaÇyÇ ÇGÇiÇrÇiÇşÇiÇ ÇÜÇyÇeÇ ÇOÇlÇ ÇİÇşÇvÇeÇrÇeÇnÇ Ç(ÇİÇlÇaÇnÇ ÇmÇıÇ ÇVÇeÇrÇeÇcÇeÇkÇsÇiÇnÇiÇzÇ?Ç)Ç ÇPÇoÇzÇiÇsÇyÇoÇnÇuÇnÇuÇzÇaÇ ÇeÇnÇ ÇuÇyÇgÇuÇnÇ ÇaÇdÇaÇyÇ ÇbÇuÇrÇaÇdÇaÇ!Ç ÇİÇşÇvÇeÇrÇeÇnÇ ÇGÇiÇrÇiÇşÇiÇ ÇÜÇcÇrÇeÇtÇsÇiÇzÇ ÇÜÇyÇeÇ ÇOÇlÇ!Ç ÇİÇşÇeÇ ÇAÇlÇıÇmÇ ÇÇÇöÇzÇüÇmÇlÇeÇrÇiÇ ÇİÇlÇaÇnÇ ÇPÇaÇkÇeÇtÇiÇ ÇAÇlÇ ÇSÇiÇzÇiÇ ÇAÇrÇaÇyÇaÇlÇıÇmÇ ÇBÇiÇzÇiÇ ÇAÇrÇaÇyÇıÇnÇ:Ç Ç0Ç2Ç1Ç6Ç Ç4Ç6Ç8Ç Ç7Ç6Ç Ç0Ç0Ç
ÇMÇaÇrÇdÇiÇnÇİÇşÇ ÇİÇlÇaÇnÇlÇaÇrÇıÇ;ÇAÇdÇaÇyÇ Ç(ÇİÇşÇ ÇmÇiÇ ÇAÇrÇıÇyÇoÇrÇsÇuÇnÇ?Ç)Ç ÇBÇuÇrÇaÇdÇaÇ ÇsÇeÇnÇiÇ ÇbÇeÇkÇlÇeÇyÇeÇnÇ ÇbÇiÇnÇlÇeÇrÇcÇeÇ ÇiÇlÇaÇnÇ ÇvÇaÇrÇ!Ç ÇAÇdÇaÇyÇ ÇGÇiÇrÇiÇşÇiÇ ÇÜÇyÇeÇ ÇOÇlÇ ÇİÇşÇvÇeÇrÇeÇnÇ Ç(ÇİÇlÇaÇnÇ ÇmÇıÇ ÇVÇeÇrÇeÇcÇeÇkÇsÇiÇnÇiÇzÇ?Ç)Ç ÇPÇoÇzÇiÇsÇyÇoÇnÇuÇnÇuÇzÇaÇ ÇeÇnÇ ÇuÇyÇgÇuÇnÇ ÇaÇdÇaÇyÇ ÇbÇuÇrÇaÇdÇaÇ!Ç ÇİÇşÇvÇeÇrÇeÇnÇ ÇGÇiÇrÇiÇşÇiÇ ÇÜÇcÇrÇeÇtÇsÇiÇzÇ ÇÜÇyÇeÇ ÇOÇlÇ!Ç ÇİÇşÇeÇ ÇAÇlÇıÇmÇ ÇÇÇöÇzÇüÇmÇlÇeÇrÇiÇ ÇİÇlÇaÇnÇ ÇPÇaÇkÇeÇtÇiÇ ÇAÇlÇ ÇSÇiÇzÇiÇ ÇAÇrÇaÇyÇaÇlÇıÇmÇ ÇBÇiÇzÇiÇ ÇAÇrÇaÇyÇıÇnÇ:Ç Ç0Ç2Ç1Ç6Ç Ç4Ç6Ç8Ç Ç7Ç6Ç Ç0Ç0Ç
ÇİÇzÇmÇiÇrÇİÇşÇ ÇİÇlÇaÇnÇlÇaÇrÇıÇ;ÇAÇdÇaÇyÇ Ç(ÇİÇşÇ ÇmÇiÇ ÇAÇrÇıÇyÇoÇrÇsÇuÇnÇ?Ç)Ç ÇBÇuÇrÇaÇdÇaÇ ÇsÇeÇnÇiÇ ÇbÇeÇkÇlÇeÇyÇeÇnÇ ÇbÇiÇnÇlÇeÇrÇcÇeÇ ÇiÇlÇaÇnÇ ÇvÇaÇrÇ!Ç ÇAÇdÇaÇyÇ ÇGÇiÇrÇiÇşÇiÇ ÇÜÇyÇeÇ ÇOÇlÇ ÇİÇşÇvÇeÇrÇeÇnÇ Ç(ÇİÇlÇaÇnÇ ÇmÇıÇ ÇVÇeÇrÇeÇcÇeÇkÇsÇiÇnÇiÇzÇ?Ç)Ç ÇPÇoÇzÇiÇsÇyÇoÇnÇuÇnÇuÇzÇaÇ ÇeÇnÇ ÇuÇyÇgÇuÇnÇ ÇaÇdÇaÇyÇ ÇbÇuÇrÇaÇdÇaÇ!Ç ÇİÇşÇvÇeÇrÇeÇnÇ ÇGÇiÇrÇiÇşÇiÇ ÇÜÇcÇrÇeÇtÇsÇiÇzÇ ÇÜÇyÇeÇ ÇOÇlÇ!Ç ÇİÇşÇeÇ ÇAÇlÇıÇmÇ ÇÇÇöÇzÇüÇmÇlÇeÇrÇiÇ ÇİÇlÇaÇnÇ ÇPÇaÇkÇeÇtÇiÇ ÇAÇlÇ ÇSÇiÇzÇiÇ ÇAÇrÇaÇyÇaÇlÇıÇmÇ ÇBÇiÇzÇiÇ ÇAÇrÇaÇyÇıÇnÇ:Ç Ç0Ç2Ç1Ç6Ç Ç4Ç6Ç8Ç Ç7Ç6Ç Ç0Ç0Ç
ÇSÇaÇkÇaÇrÇyÇaÇİÇşÇ ÇİÇlÇaÇnÇlÇaÇrÇıÇ;ÇAÇdÇaÇyÇ Ç(ÇİÇşÇ ÇmÇiÇ ÇAÇrÇıÇyÇoÇrÇsÇuÇnÇ?Ç)Ç ÇBÇuÇrÇaÇdÇaÇ ÇsÇeÇnÇiÇ ÇbÇeÇkÇlÇeÇyÇeÇnÇ ÇbÇiÇnÇlÇeÇrÇcÇeÇ ÇiÇlÇaÇnÇ ÇvÇaÇrÇ!Ç ÇAÇdÇaÇyÇ ÇGÇiÇrÇiÇşÇiÇ ÇÜÇyÇeÇ ÇOÇlÇ ÇİÇşÇvÇeÇrÇeÇnÇ Ç(ÇİÇlÇaÇnÇ ÇmÇıÇ ÇVÇeÇrÇeÇcÇeÇkÇsÇiÇnÇiÇzÇ?Ç)Ç ÇPÇoÇzÇiÇsÇyÇoÇnÇuÇnÇuÇzÇaÇ ÇeÇnÇ ÇuÇyÇgÇuÇnÇ ÇaÇdÇaÇyÇ ÇbÇuÇrÇaÇdÇaÇ!Ç ÇİÇşÇvÇeÇrÇeÇnÇ ÇGÇiÇrÇiÇşÇiÇ ÇÜÇcÇrÇeÇtÇsÇiÇzÇ ÇÜÇyÇeÇ ÇOÇlÇ!Ç ÇİÇşÇeÇ ÇAÇlÇıÇmÇ ÇÇÇöÇzÇüÇmÇlÇeÇrÇiÇ ÇİÇlÇaÇnÇ ÇPÇaÇkÇeÇtÇiÇ ÇAÇlÇ ÇSÇiÇzÇiÇ ÇAÇrÇaÇyÇaÇlÇıÇmÇ ÇBÇiÇzÇiÇ ÇAÇrÇaÇyÇıÇnÇ:Ç Ç0Ç2Ç1Ç6Ç Ç4Ç6Ç8Ç Ç7Ç6Ç Ç0Ç0Ç
